_t,s0
17,2.14E-06
3,0.522869033
3,0.522869033
13,0.002832194
4,0.269250119
3,0.522869033
1,0.925501884
21,4.22E-09
11,0.027052038
12,0.008546609
21,4.22E-09
15,1.69501E-05
12,0.008546609
4,0.269250119
7,0.080703092
7,0.080703092
14,0.00025121
14,0.00025121
30,0
4,0.269250119
6,0.127884164
14,0.00025121
4,0.269250119
6,0.127884164
15,1.69501E-05
6,0.127884164
4,0.269250119
10,0.036469775
3,0.522869033
9,0.048024296
3,0.522869033
5,0.228495299
12,0.008546609
13,0.002832194
2,0.853082263
8,0.062526683
30,0
