_d,_t,s0
1,2,.0023483661936474
1,4,3.88871881809e-07
1,3,.0003528900729494
1,3,.0003528900729494
1,2,.0023483661936474
1,4,3.88871881809e-07
1,2,.0023483661936474
1,11,4.14923221568e-15
1,2,.0023483661936474
1,2,.0023483661936474
1,13,8.39247427656e-24
1,2,.0023483661936474
1,4,3.88871881809e-07
1,8,2.12138942374e-11
1,4,3.88871881809e-07
1,15,3.04895719180e-35
1,12,4.25552128431e-18
1,4,3.88871881809e-07
1,5,6.05706457377e-09
1,2,.0023483661936474
1,9,4.79851011375e-13
1,5,6.05706457377e-09
1,18,1.26873912357e-59
1,2,.0023483661936474
1,2,.0023483661936474
1,26,0
1,8,2.12138942374e-11
1,1,.6415986105621218
