,AGE,1b.RACE,2.RACE,3.RACE,4.RACE,5.RACE,6.RACE,0b.FEMALE,1.FEMALE,1b.ZIPINC_QRTL,2.ZIPINC_QRTL,3.ZIPINC_QRTL,4.ZIPINC_QRTL
AGE,2.66077E-06,0,1.82708E-05,5.56616E-05,3.93828E-05,9.53582E-05,3.4292E-05,0,3.07672E-06,0,2.42823E-06,1.24347E-05,8.77198E-06
1b.RACE,0,0,0,0,0,0,0,0,0,0,0,0,0
2.RACE,1.82708E-05,0,0.013901285,0.003335782,0.003048111,0.002421504,0.002687264,0,0.000141222,0,0.002747635,0.002940872,0.003114139
3.RACE,5.56616E-05,0,0.003335782,0.01576072,0.003686285,0.004063331,0.003051342,0,0.000712695,0,0.001748634,0.001256403,0.001650942
4.RACE,3.93828E-05,0,0.003048111,0.003686285,0.056893024,0.004037526,0.003232981,0,0.001848277,0,0.001646797,0.001605476,0.000147215
5.RACE,9.53582E-05,0,0.002421504,0.004063331,0.004037526,1.016326075,0.00636739,0,-0.002068226,0,0.000427718,0.001321316,-0.007925433
6.RACE,3.4292E-05,0,0.002687264,0.003051342,0.003232981,0.00636739,0.042719684,0,-0.000879085,0,0.000877019,0.001593243,-0.002081021
0b.FEMALE,0,0,0,0,0,0,0,0,0,0,0,0,0
1.FEMALE,3.07672E-06,0,0.000141222,0.000712695,0.001848277,-0.002068226,-0.000879085,0,0.006691043,0,-6.85604E-05,-0.00052846,-0.000610942
1b.ZIPINC_QRTL,0,0,0,0,0,0,0,0,0,0,0,0,0
2.ZIPINC_QRTL,2.42823E-06,0,0.002747635,0.001748634,0.001646797,0.000427718,0.000877019,0,-6.85604E-05,0,0.011671357,0.006389891,0.006583465
3.ZIPINC_QRTL,1.24347E-05,0,0.002940872,0.001256403,0.001605476,0.001321316,0.001593243,0,-0.00052846,0,0.006389891,0.01355637,0.006481036
4.ZIPINC_QRTL,8.77198E-06,0,0.003114139,0.001650942,0.000147215,-0.007925433,-0.002081021,0,-0.000610942,0,0.006583465,0.006481036,0.015350003
