_d,_t,s0
1,17,2.13552851420e-06
1,3,.5228690330194307
1,3,.5228690330194307
1,13,.0028321936084225
1,4,.2692501189530854
1,3,.5228690330194307
1,1,.9255018841840548
1,21,4.22248166740e-09
1,11,.0270520381090837
1,12,.0085466086876243
1,21,4.22248166740e-09
1,15,.0000169501185663
1,12,.0085466086876243
1,4,.2692501189530854
1,7,.0807030917330903
1,7,.0807030917330903
1,14,.000251209823469
1,14,.000251209823469
1,30,0
1,4,.2692501189530854
1,6,.1278841639222066
1,14,.000251209823469
1,4,.2692501189530854
1,6,.1278841639222066
1,15,.0000169501185663
1,6,.1278841639222066
1,4,.2692501189530854
1,10,.0364697745167959
1,3,.5228690330194307
1,9,.0480242964582204
1,3,.5228690330194307
1,5,.2284952991983344
1,12,.0085466086876243
1,13,.0028321936084225
1,2,.8530822625349855
1,8,.0625266829632634
1,30,0
