,AGE,1b.RACE,2.RACE,3.RACE,0b.FEMALE,1.FEMALE,1b.ZIPINC_QRTL,2.ZIPINC_QRTL,3.ZIPINC_QRTL,4.ZIPINC_QRTL
AGE,0.000264154,0,0.000821577,-0.00013148,0,0.000672586,0,-0.002535318,-0.002360513,0.000469274
1b.RACE,0,0,0,0,0,0,0,0,0,0
2.RACE,0.000821577,0,0.551527029,0.013695538,0,-0.063239636,0,0.064305864,-0.296509704,0.06747393
3.RACE,-0.00013148,0,0.013695538,0.369416391,0,0.065386653,0,0.069540418,0.126918806,0.023084018
0b.FEMALE,0,0,0,0,0,0,0,0,0,0
1.FEMALE,0.000672586,0,-0.063239636,0.065386653,0,0.246966387,0,-0.106117541,0.101449983,-0.073842864
1b.ZIPINC_QRTL,0,0,0,0,0,0,0,0,0,0
2.ZIPINC_QRTL,-0.002535318,0,0.064305864,0.069540418,0,-0.106117541,0,0.387365377,0.152493914,0.214649411
3.ZIPINC_QRTL,-0.002360513,0,-0.296509704,0.126918806,0,0.101449983,0,0.152493914,0.573803748,0.12560828
4.ZIPINC_QRTL,0.000469274,0,0.06747393,0.023084018,0,-0.073842864,0,0.214649411,0.12560828,0.47355502
