,AGE,1b.RACE,2.RACE,3.RACE,6.RACE,0b.FEMALE,1.FEMALE,1b.ZIPINC_QRTL,2.ZIPINC_QRTL,3.ZIPINC_QRTL,4.ZIPINC_QRTL
AGE,7.93126E-05,0,-0.000306513,-0.000568113,-0.00061992,0,-0.000802817,0,0.000507256,-0.000471127,-9.21239E-05
1b.RACE,0,0,0,0,0,0,0,0,0,0,0
2.RACE,-0.000306513,0,0.207523429,0.080006755,0.049673826,0,-0.024449485,0,0.019304442,0.063582671,0.025377096
3.RACE,-0.000568113,0,0.080006755,0.260520656,0.061910512,0,0.014655319,0,0.050494045,0.063343534,0.008874125
6.RACE,-0.00061992,0,0.049673826,0.061910512,1.367448229,0,-0.147931946,0,-0.026938063,0.010934192,-0.281940945
0b.FEMALE,0,0,0,0,0,0,0,0,0,0,0
1.FEMALE,-0.000802817,0,-0.024449485,0.014655319,-0.147931946,0,0.190393738,0,0.046634178,0.017167379,0.13087802
1b.ZIPINC_QRTL,0,0,0,0,0,0,0,0,0,0,0
2.ZIPINC_QRTL,0.000507256,0,0.019304442,0.050494045,-0.026938063,0,0.046634178,0,0.220380986,0.103353981,0.153775753
3.ZIPINC_QRTL,-0.000471127,0,0.063582671,0.063343534,0.010934192,0,0.017167379,0,0.103353981,0.285568661,0.112897963
4.ZIPINC_QRTL,-9.21239E-05,0,0.025377096,0.008874125,-0.281940945,0,0.13087802,0,0.153775753,0.112897963,0.418946345
